age,height,sex,ethnic,errors,fev1_predicted,fev1_lln,fev1_uln,fev1_z,fev1_pp,fvc_predicted,fvc_lln,fvc_uln,fvc_z,fvc_pp,fev1fvc_predicted,fev1fvc_lln,fev1fvc_uln,fev1fvc_z,fev1fvc_pp,fef2575_predicted,fef2575_lln,fef2575_uln,fef2575_z,fef2575_pp,fef75_predicted,fef75_lln,fef75_uln,fef75_z,fef75_pp,fev075_predicted,fev075_lln,fev075_uln,fev075_z,fev075_pp,fev075fvc_predicted,fev075fvc_lln,fev075fvc_uln,fev075fvc_z,fev075fvc_pp,tlco_predicted,tlco_lln,tlco_uln,tlco_z,tlco_pp,dlco_predicted,dlco_lln,dlco_uln,dlco_z,dlco_pp,kcosi_predicted,kcotr_predicted,kcosi_lln,kcosi_uln,kcotr_lln,kcotr_uln,kcosi_z,kcosi_pp,kcotr_z,kcotr_pp,va_predicted,va_lln,va_uln,va_z,va_pp,frc_predicted,frc_lln,frc_uln,frc_z,frc_pp,tlc_predicted,tlc_lln,tlc_uln,tlc_z,tlc_pp,rv_predicted,rv_lln,rv_uln,rv_z,rv_pp,rvtlc_predicted,rvtlc_lln,rvtlc_uln,rvtlc_z,rvtlc_pp,erv_predicted,erv_lln,erv_uln,erv_z,erv_pp,ic_predicted,ic_lln,ic_uln,ic_z,ic_pp,vc_predicted,vc_lln,vc_uln,vc_z,vc_pp,frc_mbw_predicted,frc_mbw_lln,frc_mbw_uln,frc_mbw_z,frc_mbw_pp,lci_predicted,lci_lln,lci_uln,lci_z,lci_pp
74,192,M,0,,3.563,2.589,4.478,0,0,4.869,3.609,6.151,0,0,0.749,0.615,0.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.876,7.214,13.06,0,0,29.5,21.548,39.01,0,0,1.29,3.854,0.95,1.663,2.837,4.968,0,0,0,0,7.692,6.185,9.318,0,0,4.857,3.386,6.697,0,0,8.502,6.685,10.345,0,0,3.173,1.837,4.792,0,0,37.21,25.255,49.716,0,0,1.616,0.487,3.306,0,0,3.697,2.567,4.778,0,0,5.214,4.145,6.314,0,0,5.158,3.689,6.793,0,0,7.369,6.39,8.571,0,0
74,192,F,0,,3.065,2.113,3.956,0,0,4.129,2.894,5.404,0,0,0.76,0.633,0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.199,6.127,10.764,0,0,24.492,18.301,32.153,0,0,1.237,3.696,0.941,1.576,2.81,4.707,0,0,0,0,6.489,5.168,7.955,0,0,4.335,3.088,5.903,0,0,7.145,5.617,8.872,0,0,3.058,1.808,4.703,0,0,41.431,28.455,55.269,0,0,1.108,0.271,2.454,0,0,2.939,1.946,3.941,0,0,4.031,3.131,4.924,0,0,4.936,3.531,6.501,0,0,7.369,6.39,8.571,0,0
74,193,M,0,,3.609,2.623,4.536,0,0,4.939,3.661,6.239,0,0,0.748,0.614,0.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,7.29,13.198,0,0,29.811,21.775,39.421,0,0,1.288,3.846,0.948,1.66,2.831,4.957,0,0,0,0,7.789,6.263,9.437,0,0,4.927,3.435,6.794,0,0,8.605,6.766,10.471,0,0,3.215,1.861,4.855,0,0,37.207,25.253,49.712,0,0,1.646,0.496,3.367,0,0,3.739,2.596,4.833,0,0,5.277,4.195,6.39,0,0,5.26,3.764,6.925,0,0,7.369,6.39,8.571,0,0
74,193,F,0,,3.103,2.14,4.005,0,0,4.186,2.934,5.478,0,0,0.76,0.632,0.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.269,6.179,10.855,0,0,24.698,18.456,32.425,0,0,1.233,3.684,0.938,1.57,2.801,4.691,0,0,0,0,6.563,5.227,8.046,0,0,4.394,3.13,5.984,0,0,7.229,5.682,8.976,0,0,3.101,1.833,4.769,0,0,41.429,28.454,55.266,0,0,1.124,0.275,2.491,0,0,2.97,1.966,3.983,0,0,4.076,3.166,4.978,0,0,5.034,3.602,6.627,0,0,7.369,6.39,8.571,0,0
74,194,M,0,,3.655,2.656,4.594,0,0,5.009,3.713,6.327,0,0,0.747,0.614,0.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.085,7.366,13.336,0,0,30.124,22.003,39.834,0,0,1.285,3.838,0.946,1.656,2.825,4.947,0,0,0,0,7.888,6.342,9.556,0,0,4.998,3.484,6.892,0,0,8.709,6.848,10.597,0,0,3.257,1.885,4.918,0,0,37.203,25.251,49.708,0,0,1.676,0.505,3.428,0,0,3.782,2.626,4.888,0,0,5.34,4.246,6.467,0,0,5.364,3.841,7.059,0,0,7.369,6.39,8.571,0,0
74,194,F,0,,3.141,2.166,4.055,0,0,4.243,2.974,5.553,0,0,0.759,0.631,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.338,6.231,10.947,0,0,24.906,18.611,32.697,0,0,1.229,3.672,0.935,1.565,2.791,4.675,0,0,0,0,6.638,5.286,8.137,0,0,4.454,3.173,6.065,0,0,7.312,5.748,9.079,0,0,3.144,1.859,4.835,0,0,41.428,28.453,55.264,0,0,1.141,0.279,2.528,0,0,3.001,1.987,4.025,0,0,4.121,3.2,5.033,0,0,5.133,3.676,6.755,0,0,7.369,6.39,8.571,0,0
74,195,M,0,,3.701,2.69,4.653,0,0,5.079,3.765,6.417,0,0,0.747,0.613,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19,7.443,13.475,0,0,30.438,22.233,40.25,0,0,1.282,3.829,0.944,1.653,2.819,4.936,0,0,0,0,7.987,6.422,9.676,0,0,5.07,3.534,6.99,0,0,8.813,6.93,10.724,0,0,3.3,1.91,4.983,0,0,37.2,25.249,49.703,0,0,1.706,0.514,3.49,0,0,3.825,2.656,4.943,0,0,5.404,4.296,6.544,0,0,5.47,3.919,7.195,0,0,7.369,6.39,8.571,0,0
74,195,F,0,,3.18,2.193,4.105,0,0,4.301,3.014,5.628,0,0,0.758,0.631,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.408,6.283,11.038,0,0,25.114,18.767,32.971,0,0,1.225,3.66,0.931,1.56,2.782,4.66,0,0,0,0,6.713,5.345,8.229,0,0,4.514,3.216,6.147,0,0,7.396,5.814,9.184,0,0,3.188,1.884,4.902,0,0,41.426,28.452,55.262,0,0,1.158,0.283,2.566,0,0,3.033,2.008,4.067,0,0,4.166,3.235,5.088,0,0,5.235,3.751,6.886,0,0,7.369,6.39,8.571,0,0
74,196,M,0,,3.748,2.724,4.712,0,0,5.151,3.818,6.507,0,0,0.746,0.612,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.296,7.52,13.615,0,0,30.754,22.463,40.668,0,0,1.279,3.821,0.942,1.649,2.813,4.926,0,0,0,0,8.087,6.502,9.797,0,0,5.142,3.584,7.09,0,0,8.918,7.012,10.851,0,0,3.343,1.935,5.049,0,0,37.197,25.247,49.699,0,0,1.737,0.523,3.552,0,0,3.868,2.686,4.998,0,0,5.468,4.347,6.622,0,0,5.579,3.999,7.335,0,0,7.369,6.39,8.571,0,0
74,196,F,0,,3.219,2.22,4.155,0,0,4.359,3.055,5.704,0,0,0.758,0.63,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.478,6.335,11.13,0,0,25.323,18.923,33.245,0,0,1.221,3.647,0.928,1.555,2.773,4.644,0,0,0,0,6.788,5.405,8.321,0,0,4.574,3.259,6.229,0,0,7.481,5.881,9.289,0,0,3.232,1.911,4.97,0,0,41.425,28.451,55.26,0,0,1.175,0.288,2.604,0,0,3.064,2.029,4.11,0,0,4.211,3.271,5.143,0,0,5.338,3.827,7.019,0,0,7.369,6.39,8.571,0,0
